tmucodigo;tmudenominacao;tmuuf
"90433";"BONITO";"MS"
"05720";"BONITO DE MINAS";"MG"
"19496";"BONITO DE SANTA FE";"PB"
"10561";"BONOPOLIS";"GO"
"19518";"BOQUEIRAO";"PB"
"84832";"BOQUEIRAO DO LEAO";"RS"
"02828";"BOQUEIRAO DO PIAUI";"PI"
"31151";"BOQUIM";"SE"
"33812";"BOQUIRA";"BA"
"62430";"BORA";"SP"
"62456";"BORACEIA";"SP"
"02178";"BORBA";"AM"
"19550";"BORBOREMA";"PB"
"62472";"BORBOREMA";"SP"
"41653";"BORDA DA MATA";"MG"
"72478";"BOREBI";"SP"
"74632";"BORRAZOPOLIS";"PR"
"85499";"BOSSOROCA";"RS"
"41670";"BOTELHOS";"MG"
"62499";"BOTUCATU";"SP"
"41696";"BOTUMIRIM";"MG"
"33839";"BOTUPORA";"BA"
"80519";"BOTUVERA";"SC"
"80535";"BRACO DO NORTE";"SC"
"55573";"BRACO DO TROMBUDO";"SC"
"85510";"BRAGA";"RS"
"04332";"BRAGANCA";"PA"
"62510";"BRAGANCA PAULISTA";"SP"
"79839";"BRAGANEY";"PR"
"27219";"BRANQUINHA";"AL"
"41734";"BRAS PIRES";"MG"
"06394";"BRASIL NOVO";"PA"
"90450";"BRASILANDIA";"MS"
"05746";"BRASILANDIA DE MINAS";"MG"
"55212";"BRASILANDIA DO SUL";"PR"
"03395";"BRASILANDIA DO TOCANTINS";"TO"
"01058";"BRASILEIA";"AC"
"22837";"BRASILEIRA";"PI"
"97012";"BRASILIA";"DF"
"41718";"BRASILIA DE MINAS";"MG"
"98736";"BRASNORTE";"MT"
"41777";"BRASOPOLIS";"MG"
"62553";"BRAUNA";"SP"
"41750";"BRAUNAS";"MG"
"92711";"BRAZABRANTES";"GO"
"23477";"BREJAO";"PE"
"07587";"BREJETUBA";"ES"
"16357";"BREJINHO";"RN"
"23493";"BREJINHO";"PE"
"92738";"BREJINHO DE NAZARE";"TO"
"07390";"BREJO";"MA"
"07927";"BREJO ALEGRE";"SP"
"23515";"BREJO DA MADRE DE DEUS";"PE"
"01325";"BREJO DE AREIA";"MA"
"19577";"BREJO DO CRUZ";"PB"
"02844";"BREJO DO PIAUI";"PI"
"19593";"BREJO DOS SANTOS";"PB"
"31135";"BREJO GRANDE";"SE"
"05770";"BREJO GRANDE DO ARAGUAIA";"PA"
"13498";"BREJO SANTO";"CE"
"33855";"BREJOES";"BA"
"33871";"BREJOLANDIA";"BA"
"06254";"BREU BRANCO";"PA"
"04359";"BREVES";"PA"
"92754";"BRITANIA";"GO"
"84492";"BROCHIER";"RS"
"62570";"BRODOSQUI";"SP"
"62596";"BROTAS";"SP"
"33898";"BROTAS DE MACAUBAS";"BA"
"41793";"BRUMADINHO";"MG"
"33910";"BRUMADO";"BA"
"09040";"BRUNOPOLIS";"SC"
"80551";"BRUSQUE";"SC"
"41815";"BUENO BRANDAO";"MG"
"41831";"BUENOPOLIS";"MG"
"23531";"BUENOS AIRES";"PE"
"33936";"BUERAREMA";"BA"
"05762";"BUGRE";"MG"
"23558";"BUIQUE";"PE"
"06459";"BUJARI";"AC"
"04375";"BUJARU";"PA"
"62618";"BURI";"SP"
"62634";"BURITAMA";"SP"
"07412";"BURITI";"MA"
"92770";"BURITI ALEGRE";"GO"
"07439";"BURITI BRAVO";"MA"
"00639";"BURITI DE GOIAS";"GO"
"97152";"BURITI DO TOCANTINS";"TO"
"10391";"BURITI DOS LOPES";"PI"
"12971";"BURITI DOS MONTES";"PI"
"01341";"BURITICUPU";"MA"
"00612";"BURITINOPOLIS";"GO"
"30791";"BURITIRAMA";"BA"
"01368";"BURITIRANA";"MA"
"41858";"BURITIS";"MG"
"00043";"BURITIS";"RO"
"62650";"BURITIZAL";"SP"
"41874";"BURITIZEIRO";"MG"
"85537";"BUTIA";"RS"
"02992";"CAAPIRANGA";"AM"
"19615";"CAAPORA";"PB"
"90557";"CAARAPO";"MS"
"33952";"CAATIBA";"BA"
"19631";"CABACEIRAS";"PB"
"32670";"CABACEIRAS DO PARAGUACU";"BA"
"05789";"CABECEIRA GRANDE";"MG"
"92797";"CABECEIRAS";"GO"
"12998";"CABECEIRAS DO PIAUI";"PI"
"19658";"CABEDELO";"PB"
"00370";"CABIXI";"RO"
"23574";"CABO DE SANTO AGOSTINHO";"PE"
"58130";"CABO FRIO";"RJ"
"41890";"CABO VERDE";"MG"
"62677";"CABRALIA PAULISTA";"SP"
"62693";"CABREUVA";"SP"
"23590";"CABROBO";"PE"
"80578";"CACADOR";"SC"
"62715";"CACAPAVA";"SP"
"85553";"CACAPAVA DO SUL";"RS"
"06777";"CACAULANDIA";"RO"
"85570";"CACEQUI";"RS"
"90476";"CACERES";"MT"
"33979";"CACHOEIRA";"BA"
"92819";"CACHOEIRA ALTA";"GO"
"41912";"CACHOEIRA DA PRATA";"MG"
"92835";"CACHOEIRA DE GOIAS";"GO"
"41939";"CACHOEIRA DE MINAS";"MG"
"40533";"CACHOEIRA DE PAJEU";"MG"
"04391";"CACHOEIRA DO ARARI";"PA"
"00469";"CACHOEIRA DO PIRIA";"PA"
"85596";"CACHOEIRA DO SUL";"RS"
"19674";"CACHOEIRA DOS INDIOS";"PB"
"41955";"CACHOEIRA DOURADA";"MG"
"96733";"CACHOEIRA DOURADA";"GO"
"01384";"CACHOEIRA GRANDE";"MA"
"62731";"CACHOEIRA PAULISTA";"SP"
"58157";"CACHOEIRAS DE MACACU";"RJ"
"01716";"CACHOEIRINHA";"TO"
"23612";"CACHOEIRINHA";"PE"
"85618";"CACHOEIRINHA";"RS"
"56235";"CACHOEIRO DE ITAPEMIRIM";"ES"
"19690";"CACIMBA DE AREIA";"PB"
"19712";"CACIMBA DE DENTRO";"PB"
"04600";"CACIMBAS";"PB"
"27235";"CACIMBINHAS";"AL"
"85634";"CACIQUE DOBLE";"RS"
"00094";"CACOAL";"RO"
"62758";"CACONDE";"SP"
"92851";"CACU";"GO"
"33995";"CACULE";"BA"
"34010";"CAEM";"BA"
"41971";"CAETANOPOLIS";"MG"
"32697";"CAETANOS";"BA"
"41998";"CAETE";"MG"
"23639";"CAETES";"PE"
"34037";"CAETITE";"BA"
"34053";"CAFARNAUM";"BA"
"74659";"CAFEARA";"PR"
"62774";"CAFELANDIA";"SP"
"79855";"CAFELANDIA";"PR"
"54917";"CAFEZAL DO SUL";"PR"
"62790";"CAIABU";"SP"
"42013";"CAIANA";"MG"
"92878";"CAIAPONIA";"GO"
"85650";"CAIBATE";"RS"
"80594";"CAIBI";"SC"
"19739";"CAICARA";"PB"
"85677";"CAICARA";"RS"
"04146";"CAICARA DO NORTE";"RN"
"16373";"CAICARA DO RIO DO VENTO";"RN"
"16390";"CAICO";"RN"
"62812";"CAIEIRAS";"SP"
"34070";"CAIRU";"BA"
"62839";"CAIUA";"SP"
"62855";"CAJAMAR";"SP"
"07455";"CAJAPIO";"MA"
"07471";"CAJARI";"MA"
"29670";"CAJATI";"SP"
"19755";"CAJAZEIRAS";"PB"
"02860";"CAJAZEIRAS DO PIAUI";"PI"
"04626";"CAJAZEIRINHAS";"PB"
"62871";"CAJOBI";"SP"
"27251";"CAJUEIRO";"AL"
"02887";"CAJUEIRO DA PRAIA";"PI"
"42030";"CAJURI";"MG"
"62898";"CAJURU";"SP"
"23655";"CALCADO";"PE"
"06033";"CALCOENE";"AP"
"42056";"CALDAS";"MG"
"19771";"CALDAS BRANDAO";"PB"
"92894";"CALDAS NOVAS";"GO"
"00310";"CALDAZINHA";"GO"
"34096";"CALDEIRAO GRANDE";"BA"
"22713";"CALDEIRAO GRANDE DO PIAUI";"PI"
"74675";"CALIFORNIA";"PR"
"55530";"CALMON";"SC"
"23671";"CALUMBI";"PE"
"34118";"CAMACAN";"BA"
"34134";"CAMACARI";"BA"
"42072";"CAMACHO";"MG"
"19798";"CAMALAU";"PB"
"34150";"CAMAMU";"BA"
"42099";"CAMANDUCAIA";"MG"
"90492";"CAMAPUA";"MS"
"85693";"CAMAQUA";"RS"
"26298";"CAMARAGIBE";"PE"
"84476";"CAMARGO";"RS"
"74691";"CAMBARA";"PR"
"85715";"CAMBARA DO SUL";"RS"
"74713";"CAMBE";"PR"
"74730";"CAMBIRA";"PR"
"80616";"CAMBORIU";"SC"
"58173";"CAMBUCI";"RJ"
"42110";"CAMBUI";"MG"
"42137";"CAMBUQUIRA";"MG"
"04413";"CAMETA";"PA"
"13510";"CAMOCIM";"CE"
"23698";"CAMOCIM DE SAO FELIX";"PE"
"42153";"CAMPANARIO";"MG"
"42170";"CAMPANHA";"MG"
"42196";"CAMPESTRE";"MG"
"05606";"CAMPESTRE";"AL"
"60135";"CAMPESTRE DA SERRA";"RS"
"92916";"CAMPESTRE DE GOIAS";"GO"
"01406";"CAMPESTRE DO MARANHAO";"MA"
"74756";"CAMPINA DA LAGOA";"PR"
"85731";"CAMPINA DAS MISSOES";"RS"
"29998";"CAMPINA DO MONTE ALEGRE";"SP"
"08400";"CAMPINA DO SIMAO";"PR"
"19810";"CAMPINA GRANDE";"PB"
"74772";"CAMPINA GRANDE DO SUL";"PR"
"42218";"CAMPINA VERDE";"MG"
"96873";"CAMPINACU";"GO"
"98639";"CAMPINAPOLIS";"MT"
"62910";"CAMPINAS";"SP"
"10413";"CAMPINAS DO PIAUI";"PI"
"85758";"CAMPINAS DO SUL";"RS"
"92932";"CAMPINORTE";"GO"
"27278";"CAMPO ALEGRE";"AL"
"80632";"CAMPO ALEGRE";"SC"
"92959";"CAMPO ALEGRE DE GOIAS";"GO"
"34177";"CAMPO ALEGRE DE LOURDES";"BA"
"02909";"CAMPO ALEGRE DO FIDALGO";"PI"
"05800";"CAMPO AZUL";"MG"
"42234";"CAMPO BELO";"MG"
"80659";"CAMPO BELO DO SUL";"SC"
"85774";"CAMPO BOM";"RS"
"84751";"CAMPO BONITO";"PR"
"31194";"CAMPO DO BRITO";"SE"
"42250";"CAMPO DO MEIO";"MG"
"74799";"CAMPO DO TENENTE";"PR"
"80675";"CAMPO ERE";"SC"
"42277";"CAMPO FLORIDO";"MG"
"34193";"CAMPO FORMOSO";"BA"
"16250";"CAMPO GRANDE";"RN"
"27294";"CAMPO GRANDE";"AL"
"90514";"CAMPO GRANDE";"MS"
"02925";"CAMPO GRANDE DO PIAUI";"PI"
"74810";"CAMPO LARGO";"PR"
"02941";"CAMPO LARGO DO PIAUI";"PI"
"62936";"CAMPO LIMPO PAULISTA";"SP"
"08427";"CAMPO MAGRO";"PR"
"10430";"CAMPO MAIOR";"PI"
"74837";"CAMPO MOURAO";"PR"
"85790";"CAMPO NOVO";"RS"
"06793";"CAMPO NOVO DE RONDONIA";"RO"
"97772";"CAMPO NOVO DO PARECIS";"MT"
"16411";"CAMPO REDONDO";"RN"
"97799";"CAMPO VERDE";"MT"
"42293";"CAMPOS ALTOS";"MG"
"92975";"CAMPOS BELOS";"GO"
"84450";"CAMPOS BORGES";"RS"
"10324";"CAMPOS DE JULIO";"MT"
"62952";"CAMPOS DO JORDAO";"SP"
"58190";"CAMPOS DOS GOYTACAZES";"RJ"
"42315";"CAMPOS GERAIS";"MG"
"01732";"CAMPOS LINDOS";"TO"
"80691";"CAMPOS NOVOS";"SC"
"62979";"CAMPOS NOVOS PAULISTA";"SP"
"13536";"CAMPOS SALES";"CE"
"97810";"CAMPOS VERDES";"GO"
"23710";"CAMUTANGA";"PE"
"42374";"CANA VERDE";"MG"
"42331";"CANAA";"MG"
"00485";"CANAA DOS CARAJAS";"PA"
"01295";"CANABRAVA DO NORTE";"MT"
"62995";"CANANEIA";"SP"
"27316";"CANAPI";"AL"
"34215";"CANAPOLIS";"BA"
"42358";"CANAPOLIS";"MG"
"34231";"CANARANA";"BA"
"91936";"CANARANA";"MT"
"07943";"CANAS";"SP"
"22470";"CANAVIEIRA";"PI"
"34258";"CANAVIEIRAS";"BA"
"34274";"CANDEAL";"BA"
"34290";"CANDEIAS";"BA"
"42390";"CANDEIAS";"MG"
"06815";"CANDEIAS DO JAMARI";"RO"
"85812";"CANDELARIA";"RS"
"34312";"CANDIBA";"BA"
"74853";"CANDIDO DE ABREU";"PR"
"85839";"CANDIDO GODOI";"RS"
"07498";"CANDIDO MENDES";"MA"
"63010";"CANDIDO MOTA";"SP"
"63037";"CANDIDO RODRIGUES";"SP"
"34339";"CANDIDO SALES";"BA"
"60836";"CANDIOTA";"RS"
"54992";"CANDOI";"PR"
"85855";"CANELA";"RS"
"80713";"CANELINHA";"SC"
"16438";"CANGUARETAMA";"RN"
"85871";"CANGUCU";"RS"
"31216";"CANHOBA";"SE"
"23736";"CANHOTINHO";"PE"
"13552";"CANINDE";"CE"
"31232";"CANINDE DE SAO FRANCISCO";"SE"
"29475";"CANITAR";"SP"
"85898";"CANOAS";"RS"
"80730";"CANOINHAS";"SC"
"34355";"CANSANCAO";"BA"
"00280";"CANTA";"RR"
"58211";"CANTAGALO";"RJ"
"84514";"CANTAGALO";"PR"
"05827";"CANTAGALO";"MG"
"07510";"CANTANHEDE";"MA"
"10456";"CANTO DO BURITI";"PI"
"30856";"CANUDOS";"BA"
"02194";"CANUTAMA";"AM"
"04430";"CAPANEMA";"PA"
"74870";"CAPANEMA";"PR"
"09067";"CAPAO ALTO";"SC"
"63053";"CAPAO BONITO";"SP"
"89150";"CAPAO DA CANOA";"RS"
"89737";"CAPAO DO LEAO";"RS"
"42412";"CAPARAO";"MG"
"27332";"CAPELA";"AL"
"31259";"CAPELA";"SE"
"84433";"CAPELA DE SANTANA";"RS"
"63070";"CAPELA DO ALTO";"SP"
"30813";"CAPELA DO ALTO ALEGRE";"BA"
"42439";"CAPELA NOVA";"MG"
"42455";"CAPELINHA";"MG"
"42471";"CAPETINGA";"MG"
"04642";"CAPIM";"PB"
"42498";"CAPIM BRANCO";"MG"
"30830";"CAPIM GROSSO";"BA"
"42510";"CAPINOPOLIS";"MG"
"80756";"CAPINZAL";"SC"
"01422";"CAPINZAL DO NORTE";"MA"
"13579";"CAPISTRANO";"CE"
"60259";"CAPITAO";"RS"
"26514";"CAPITAO ANDRADE";"MG"
"10472";"CAPITAO DE CAMPOS";"PI"
"42536";"CAPITAO ENEAS";"MG"
"02968";"CAPITAO GERVASIO OLIVEIRA";"PI"
"74896";"CAPITAO LEONIDAS MARQUES";"PR"
"04456";"CAPITAO POCO";"PA"
"42552";"CAPITOLIO";"MG"
"63096";"CAPIVARI";"SP"
"55450";"CAPIVARI DE BAIXO";"SC"
"09628";"CAPIVARI DO SUL";"RS"
"06475";"CAPIXABA";"AC"
"23752";"CAPOEIRAS";"PE"
"42579";"CAPUTIRA";"MG"
"09644";"CARAA";"RS"
"03034";"CARACARAI";"RR"
"10499";"CARACOL";"PI"
"90530";"CARACOL";"MS"
"63118";"CARAGUATATUBA";"SP"
"42595";"CARAI";"MG"
"32719";"CARAIBAS";"BA"
"08443";"CARAMBEI";"PR"
"42617";"CARANAIBA";"MG"
"42633";"CARANDAI";"MG"
"42650";"CARANGOLA";"MG"
"07722";"CARAPEBUS";"RJ"
"63134";"CARAPICUIBA";"SP"
"42676";"CARATINGA";"MG"
"02216";"CARAUARI";"AM"
"16454";"CARAUBAS";"RN"
"04669";"CARAUBAS";"PB"
"02984";"CARAUBAS DO PIAUI";"PI"
"34371";"CARAVELAS";"BA"
"85910";"CARAZINHO";"RS"
"42692";"CARBONITA";"MG"
"34398";"CARDEAL DA SILVA";"BA"
"63150";"CARDOSO";"SP"
"29157";"CARDOSO MOREIRA";"RJ"
"42714";"CAREACU";"MG"
"02232";"CAREIRO";"AM"
"09652";"CAREIRO DA VARZEA";"AM"
"56251";"CARIACICA";"ES"
"13595";"CARIDADE";"CE"
"03000";"CARIDADE DO PIAUI";"PI"
"34410";"CARINHANHA";"BA"
"31275";"CARIRA";"SE"
"13617";"CARIRE";"CE"
"03271";"CARIRI DO TOCANTINS";"TO"
"13633";"CARIRIACU";"CE"
"13650";"CARIUS";"CE"
"10340";"CARLINDA";"MT"
"74918";"CARLOPOLIS";"PR"
"85936";"CARLOS BARBOSA";"RS"
"42730";"CARLOS CHAGAS";"MG"
"59617";"CARLOS GOMES";"RS"
"42757";"CARMESIA";"MG"
"58238";"CARMO";"RJ"
"42773";"CARMO DA CACHOEIRA";"MG"
"42790";"CARMO DA MATA";"MG"
"42811";"CARMO DE MINAS";"MG"
"42838";"CARMO DO CAJURU";"MG"
"42854";"CARMO DO PARANAIBA";"MG"
"42870";"CARMO DO RIO CLARO";"MG"
"92991";"CARMO DO RIO VERDE";"GO"
"01759";"CARMOLANDIA";"TO"
"31291";"CARMOPOLIS";"SE"
"42897";"CARMOPOLIS DE MINAS";"MG"
"23779";"CARNAIBA";"PE"
"16470";"CARNAUBA DOS DANTAS";"RN"
"16497";"CARNAUBAIS";"RN"
"13676";"CARNAUBAL";"CE"
"26352";"CARNAUBEIRA DA PENHA";"PE"
"26859";"CARNEIRINHO";"MG"
"27359";"CARNEIROS";"AL"
"00302";"CAROEBE";"RR"
"07536";"CAROLINA";"MA"
"23795";"CARPINA";"PE"
"42919";"CARRANCAS";"MG"
"19836";"CARRAPATEIRA";"PB"
"01775";"CARRASCO BONITO";"TO"
"23817";"CARUARU";"PE"
"07552";"CARUTAPERA";"MA"
"42935";"CARVALHOPOLIS";"MG"
"42951";"CARVALHOS";"MG"
"63177";"CASA BRANCA";"SP"
"42978";"CASA GRANDE";"MG"
"34436";"CASA NOVA";"BA"
"85952";"CASCA";"RS"
"42994";"CASCALHO RICO";"MG"
"13692";"CASCAVEL";"CE"
"74934";"CASCAVEL";"PR"
"97179";"CASEARA";"TO"
"84417";"CASEIROS";"RS"
"58254";"CASIMIRO DE ABREU";"RJ"
"05460";"CASINHAS";"PE"
"04685";"CASSERENGUE";"PB"
"43010";"CASSIA";"MG"
"63193";"CASSIA DOS COQUEIROS";"SP"
"90573";"CASSILANDIA";"MS"
"04472";"CASTANHAL";"PA"
"97837";"CASTANHEIRA";"MT"
"06912";"CASTANHEIRAS";"RO"
"00817";"CASTELANDIA";"GO"
"56278";"CASTELO";"ES"
"10510";"CASTELO DO PIAUI";"PI"
"63215";"CASTILHO";"SP"
"74950";"CASTRO";"PR"
"34452";"CASTRO ALVES";"BA"
"43052";"CATAGUASES";"MG"
"93017";"CATALAO";"GO"
"63231";"CATANDUVA";"SP"
"74977";"CATANDUVAS";"PR"
"80772";"CATANDUVAS";"SC"
"13714";"CATARINA";"CE"
"05843";"CATAS ALTAS";"MG"
"43079";"CATAS ALTAS DA NORUEGA";"MG"
"23833";"CATENDE";"PE"
"63258";"CATIGUA";"SP"
"19852";"CATINGUEIRA";"PB"
"34479";"CATOLANDIA";"BA"
"19879";"CATOLE DO ROCHA";"PB"
"34495";"CATU";"BA"
"85979";"CATUIPE";"RS"
"26530";"CATUJI";"MG"
"09830";"CATUNDA";"CE"
"93033";"CATURAI";"GO"
"32735";"CATURAMA";"BA"
"04707";"CATURITE";"PB"
"05860";"CATUTI";"MG"
"13730";"CAUCAIA";"CE"
"93050";"CAVALCANTE";"GO"
"43095";"CAXAMBU";"MG"
"80799";"CAXAMBU DO SUL";"SC"
"07579";"CAXIAS";"MA"
"85995";"CAXIAS DO SUL";"RS"
"03026";"CAXINGO";"PI"
"16519";"CEARA-MIRIM";"RN"
"07595";"CEDRAL";"MA"
"63274";"CEDRAL";"SP"
"13757";"CEDRO";"CE"
"23850";"CEDRO";"PE"
"31313";"CEDRO DE SAO JOAO";"SE"
"43117";"CEDRO DO ABAETE";"MG"
"99430";"CELSO RAMOS";"SC"
"03433";"CENTENARIO";"TO"
"59633";"CENTENARIO";"RS"
"74993";"CENTENARIO DO SUL";"PR"
"34517";"CENTRAL";"BA"
"43133";"CENTRAL DE MINAS";"MG"
"01449";"CENTRAL DO MARANHAO";"MA"
"43150";"CENTRALINA";"MG"
"01465";"CENTRO DO GUILHERME";"MA"
"01481";"CENTRO NOVO DO MARANHAO";"MA"
"00272";"CEREJEIRAS";"RO"
"93076";"CERES";"GO"
"63290";"CERQUEIRA CESAR";"SP"
"63312";"CERQUILHO";"SP"
"09660";"CERRITO";"RS"
"75019";"CERRO AZUL";"PR"
"84395";"CERRO BRANCO";"RS"
"84379";"CERRO GRANDE";"RS"
"84352";"CERRO GRANDE DO SUL";"RS"
"86010";"CERRO LARGO";"RS"
"55670";"CERRO NEGRO";"SC"
"16535";"CERRO-CORA";"RN"
"63339";"CESARIO LANGE";"SP"
"79570";"CEU AZUL";"PR"
"97853";"CEZARINA";"GO"
"23876";"CHA DE ALEGRIA";"PE"
"23892";"CHA GRANDE";"PE"
"27375";"CHA PRETA";"AL"
"43176";"CHACARA";"MG"
"43192";"CHALE";"MG"
"86037";"CHAPADA";"RS"
"00809";"CHAPADA DA NATIVIDADE";"TO"
"00787";"CHAPADA DE AREIA";"TO"
"43214";"CHAPADA DO NORTE";"MG"
"90590";"CHAPADA DOS GUIMARAES";"MT"
"05886";"CHAPADA GAUCHA";"MG"
"00736";"CHAPADAO DO CEU";"GO"
"09083";"CHAPADAO DO LAGEADO";"SC"
"97870";"CHAPADAO DO SUL";"MS"
"07617";"CHAPADINHA";"MA"
"80810";"CHAPECO";"SC"
"63355";"CHARQUEADA";"SP"
"86932";"CHARQUEADAS";"RS"
"59650";"CHARRUA";"RS"
"13773";"CHAVAL";"CE"
"63371";"CHAVANTES";"SP"
"04499";"CHAVES";"PA"
"43230";"CHIADOR";"MG"
"86053";"CHIAPETTA";"RS"
"75035";"CHOPINZINHO";"PR"
"09938";"CHORO";"CE"
"12394";"CHOROZINHO";"CE"
"34533";"CHORROCHO";"BA"
"09687";"CHUI";"RS"
"00060";"CHUPINGUAIA";"RO"
"09709";"CHUVISCA";"RS"
"75051";"CIANORTE";"PR"
"34550";"CICERO DANTAS";"BA"
"75078";"CIDADE GAUCHA";"PR"
"00779";"CIDADE OCIDENTAL";"GO"
"01503";"CIDELANDIA";"MA"
"84336";"CIDREIRA";"RS"
"34576";"CIPO";"BA"
"43257";"CIPOTANEA";"MG"
"86070";"CIRIACO";"RS"
"43273";"CLARAVAL";"MG"
"43290";"CLARO DOS POCOES";"MG"
"97896";"CLAUDIA";"MT"
"43311";"CLAUDIO";"MG"
"63398";"CLEMENTINA";"SP"
"75094";"CLEVELANDIA";"PR"
"34592";"COARACI";"BA"
"02259";"COARI";"AM"
"10537";"COCAL";"PI"
"03042";"COCAL DE TELHA";"PI"
"55433";"COCAL DO SUL";"SC"
"03069";"COCAL DOS ALVES";"PI"
"98655";"COCALINHO";"MT"
"00558";"COCALZINHO DE GOIAS";"GO"
"34614";"COCOS";"BA"
"02275";"CODAJAS";"AM"
"07633";"CODO";"MA"
"07650";"COELHO NETO";"MA"
"43338";"COIMBRA";"MG"
"27391";"COITE DO NOIA";"AL"
"09954";"COIVARAS";"PI"
"04510";"COLARES";"PA"
"56294";"COLATINA";"ES"
"89796";"COLIDER";"MT"
"63410";"COLINA";"SP"
"07676";"COLINAS";"MA"
"60291";"COLINAS";"RS"
"97918";"COLINAS DO SUL";"GO"
"93114";"COLINAS DO TOCANTINS";"TO"
"95290";"COLMEIA";"TO"
"63436";"COLOMBIA";"SP"
"75132";"COLOMBO";"PR"
"22497";"COLONIA DO GURGUEIA";"PI"
"22535";"COLONIA DO PIAUI";"PI"
"27413";"COLONIA LEOPOLDINA";"AL"
"75159";"COLORADO";"PR"
"86096";"COLORADO";"RS"
"00230";"COLORADO DO OESTE";"RO"
"43354";"COLUNA";"MG"
"96970";"COMBINADO";"TO"
"43370";"COMENDADOR GOMES";"MG"
"29270";"COMENDADOR LEVY GASPARIAN";"RJ"
"43397";"COMERCINHO";"MG"
"98833";"COMODORO";"MT"
"19895";"CONCEICAO";"PB"
"43419";"CONCEICAO DA APARECIDA";"MG"
"56316";"CONCEICAO DA BARRA";"ES"
"43036";"CONCEICAO DA BARRA DE MINAS";"MG"
"34630";"CONCEICAO DA FEIRA";"BA"
"43451";"CONCEICAO DAS ALAGOAS";"MG"
"43435";"CONCEICAO DAS PEDRAS";"MG"
"43478";"CONCEICAO DE IPANEMA";"MG"
"58270";"CONCEICAO DE MACABU";"RJ"
"34657";"CONCEICAO DO ALMEIDA";"BA"
"04537";"CONCEICAO DO ARAGUAIA";"PA"
"10553";"CONCEICAO DO CANINDE";"PI"
"56332";"CONCEICAO DO CASTELO";"ES"
"34673";"CONCEICAO DO COITE";"BA"
"34690";"CONCEICAO DO JACUIPE";"BA"
"01520";"CONCEICAO DO LAGO-ACU";"MA"
"43494";"CONCEICAO DO MATO DENTRO";"MG"
"43516";"CONCEICAO DO PARA";"MG"
"43532";"CONCEICAO DO RIO VERDE";"MG"
"93130";"CONCEICAO DO TOCANTINS";"TO"
"43559";"CONCEICAO DOS OUROS";"MG"
"63452";"CONCHAL";"SP"
"63479";"CONCHAS";"SP"
"80837";"CONCORDIA";"SC"
"05797";"CONCORDIA DO PARA";"PA"
"19917";"CONDADO";"PB"
"23914";"CONDADO";"PE"
"19933";"CONDE";"PB"
"34711";"CONDE";"BA"
"34738";"CONDEUBA";"BA"
"86118";"CONDOR";"RS"
"05908";"CONEGO MARINHO";"MG"
"05924";"CONFINS";"MG"
"01317";"CONFRESA";"MT"
"19950";"CONGO";"PB"
"43575";"CONGONHAL";"MG"
"43591";"CONGONHAS";"MG"
"43613";"CONGONHAS DO NORTE";"MG"
"75175";"CONGONHINHAS";"PR"
"43630";"CONQUISTA";"MG"
"43656";"CONSELHEIRO LAFAIETE";"MG"
"75191";"CONSELHEIRO MAIRINCK";"PR"
"43672";"CONSELHEIRO PENA";"MG"
"43699";"CONSOLACAO";"MG"
"86134";"CONSTANTINA";"RS"
"43710";"CONTAGEM";"MG"
"75213";"CONTENDA";"PR"
"34754";"CONTENDAS DO SINCORA";"BA"
"43737";"COQUEIRAL";"MG"
"27430";"COQUEIRO SECO";"AL"
"59455";"COQUEIROS DO SUL";"RS"
"43753";"CORACAO DE JESUS";"MG"
"34770";"CORACAO DE MARIA";"BA"
"75230";"CORBELIA";"PR"
"58297";"CORDEIRO";"RJ"
"63495";"CORDEIROPOLIS";"SP"
"34797";"CORDEIROS";"BA"
"55794";"CORDILHEIRA ALTA";"SC"
"43770";"CORDISBURGO";"MG"
"43796";"CORDISLANDIA";"MG"
"13811";"COREAU";"CE"
"19976";"COREMAS";"PB"
"90611";"CORGUINHO";"MS"
"34819";"CORIBE";"BA"
"43818";"CORINTO";"MG"
"75256";"CORNELIO PROCOPIO";"PR"
"43834";"COROACI";"MG"
"63517";"COROADOS";"SP"
"07692";"COROATA";"MA"
"43850";"COROMANDEL";"MG"
"60550";"CORONEL BARROS";"RS"
"86150";"CORONEL BICACO";"RS"
"08460";"CORONEL DOMINGOS SOARES";"PR"
"16551";"CORONEL EZEQUIEL";"RN"
"43877";"CORONEL FABRICIANO";"MG"
"80853";"CORONEL FREITAS";"SC"
"16578";"CORONEL JOAO PESSOA";"RN"
"34835";"CORONEL JOAO SA";"BA"
"22551";"CORONEL JOSE DIAS";"PI"
"63533";"CORONEL MACEDO";"SP"
"57355";"CORONEL MARTINS";"SC"
"43893";"CORONEL MURTA";"MG"
"43915";"CORONEL PACHECO";"MG"
"99970";"CORONEL SAPUCAIA";"MS"
"75272";"CORONEL VIVIDA";"PR"
"43931";"CORONEL XAVIER CHAVES";"MG"
"43958";"CORREGO DANTA";"MG"
"43974";"CORREGO DO BOM JESUS";"MG"
"93157";"CORREGO DO OURO";"GO"
"05940";"CORREGO FUNDO";"MG"
"43990";"CORREGO NOVO";"MG"
"83950";"CORREIA PINTO";"SC"
"10570";"CORRENTE";"PI"
"23930";"CORRENTES";"PE"
"34851";"CORRENTINA";"BA"
"23957";"CORTES";"PE"
"90638";"CORUMBA";"MS"
"93173";"CORUMBA DE GOIAS";"GO"
