uniid;uniunidade;unilotacao;unisigla;unittucodigo;uniunidaderesponsavel;unidenominacao;uniendereco;unimunicipio;unicep;unitelefone;uniemail;unilocal;unilatitude;unilongitude;unihelicoptero;unitexto
90;030301;0223     ;3ªSR/MS        ;5;87;DEL.03/ Pst.01 - Anastácio;BR-419, Km 260;90131;        ;não possui;;6731;S 20G 38M ;W 55G 52M ;S;O posto esta em reforma, no momento eles estão sem telefone e Internet.
91;030303;0223     ;3ªSR/MS        ;5;87;DEL.03/ Pst.03 - Corumbá;BR-262, Km 714,0;90638;        ;(67) 3232-2963;del03p03.ms@dprf.gov.br;6736;S 19G 30M ;W 57G 25M ;N;Páteo do Posto PRF.
92;030400;0225     ;3ªSR/MS        ;1;48;DEL.04 - Delegacia de Dourados;BR-163, Km 267;90735;        ;(67) 3424-5555;del04.ms@dprf.gov.br;6737;S 22G 12M ;W 54G 42M ;S;PátIo do Posto PRF.
93;030401;0225     ;3ªSR/MS        ;5;92;DEL.04/ Pst.01 - Dourados;BR-163, Km-267;90735;        ;(67) 3424-3287, 3424-3289;del04.ms@dprf.gov.br;6737;S 22G 12M ;W 54G 42M ;S;Não há espaço destinado pra pouso de Helicóptero
94;030403;0225     ;3ªSR/MS        ;5;92;DEL.04/ Pst.03 - Ponta Porã - Capey;Ponta Porã;91316;        ;não possui;;106510;S 22G 27M ;W 55G 23M ;S;Páteo do Posto PRF.
95;030402;0225     ;3ªSR/MS        ;5;92;DEL.04/ Pst.02 - Caarapó;Caarapó;90557;        ;(67) 3431-0030;;30603;          ;          ;S;Páteo do Posto PRF .
96;030500;0227     ;3ªSR/MS        ;1;48;DEL.05 - Delegacia de Jardim;R. Coronel Juvencio, 134 - Centro;90999;        ;(67) 3251-2543;;6443;S 21G 28M ;W 56G 8M 1;S;Páteo do posto Prf.
97;030501;0227     ;3ªSR/MS        ;5;96;DEL.05/ Pst.01 - Guia Lopes da Laguna;BR-267, Km 470,0;90816;79230000;(67) 3269-1994;guialopes.ms@dprf.gov.br;6753;S 21G 25M ;W 56G 3M 4;S;Páteo do Posto PRF.
98;031000;0237     ;3ªSR/MS        ;1;48;DEL.10 - Naviraí;BR-163, Km 130;91138;        ;(67) 3461-0107;del10.ms@dprf.gov.br;42190;S 23G 3M 4;W 54G 12M ;S;Não há espaço destinado pra pouso de Helicóptero
99;030600;0229     ;3ªSR/MS        ;1;48;DEL.06 - Coxim;BR-163, KM-733,0;90654;79400000;(67) 3291-2279, 3291-1831;del06.ms@dprf.gov.br;1004626;S 18G 28M ;W 54G 42M ;S;PátIo da Delegacia e  Posto PRF.
735;030002;0205     ;3ªSR/MS        ;7;48;3ª SRPRF/MS ? NÚCLEO DE REGISTRO DE ACIDENTES E MEDICINA;RUA ANTONIO MARIA COELHO, 3033;90514;79020908;(67) 3325-3600;nuram.ms@dprf.gov.br;6556;          ;          ;N;
736;040002;0255     ;4ªSR/MG        ;7;112;4ª SRPRF/MG ? NÚCLEO DE REGISTRO DE ACIDENTES E MEDICINA;PÇ. ANTÔNIO MOURÃO GUIMARÃES, S/N CID.IND.;43710;32210170;(31) 3333-2999 - Fax:(31)3333-1584;nuram.mg@dprf.gov.br;13876;          ;          ;N;
100;030601;0229     ;3ªSR/MS        ;5;99;DEL.06/ Pst.01 - Coxim;BR-163, KM-733,0;90654;79400000;(67) 3291-2279, 3291-1831;coxim.ms@dprf.gov.br;1004626;S 18G 28M ;W 54G 42M ;S;Páteo do Posto PRF.
101;030602;0229     ;3ªSR/MS        ;5;99;DEL.06/ Pst.02 - São Gabriel DOeste;BR-163, Km 611,0;98094;79490000;(67) 3295-3728, 3295-1150;del06p02.ms@dprf.gov.br;44257;S 19G 24M ;W 54G 33M ;N;Aeroporto de Coxim - localizado à 300m do Posto PRF.
102;030700;0231     ;3ªSR/MS        ;1;48;DEL.07 - Bataguassu;BR-267, Km 019,0;90379;79780000;(67) 3541-9305, 3541-9234;del07.ms@dprf.gov.br;6786;S 21G 43M ;W 52G 17M ;S;Aeroporto de coxim - Localizdo à 300 m do Posto PRF.
103;030701;0231     ;3ªSR/MS        ;5;102;DEL.07/ Pst.01 - Bataguassu;BR-267, KM-019,0;90379;79780000;(67) 3541-9310, 3541-9234;del07.ms@dprf.gov.br;6786;S 21G 43M ;W 52G 17M ;S;há um espaço no patio para pouso de helicóptero
104;030702;0231     ;3ªSR/MS        ;5;102;DEL.07/ Pst.02 -  Nova Andradina;BR-267, Km 130,0;91235;79750000;(67) 3499-1277, 9604-1630;novaandrina.ms@dprf.gov.br;6790;S 21G 44M ;W 53G 18M ;N;Área de estacionamento do Posto PRF
105;031002;0237     ;3ªSR/MS        ;5;98;DEL.10/ Pst.02 - Mundo Novo;BR-163, Km 023,0;91790;79980000;(67) 3474-1498, 3474-2100;mundonovo.ms@dprf.gov.br;6774;S 23G 54M ;W 54G 17M ;S;Propriedade rural destinada a criação de gado, de relevo plano e sem obstruções ( árvores, rede elétrica, etc) situada próxima ao Posto PRF.
106;030800;0233     ;3ªSR/MS        ;1;48;DEL.08 -  Três Lagoas;Av. Aldair Rosa Oliveira 518, CENTRO;91650;79601010;(67) 3521-7663;del08.ms@dprf.gov.br;6443;S 20G 47M ;W 51G 43M ;N;Páteo do Posto PRF.
107;030801;0233     ;3ªSR/MS        ;5;106;DEL.08/ Pst.01 - Três Lagoas;BR-262, Km 021,0;91650;79601010;(67) 3557-1007;treslagoas.ms@dprf.gov.br;6794;S 20G 48M ;W 51G 48M ;S;Há espaço para pousar helicóptero
108;030802;0233     ;3ªSR/MS        ;5;106;DEL.08/ Pst.02 - Água Clara;BR-262, Km 140,0;90034;        ;(67) 3239-1524;aguaclara.ms@dprf.gov.br;6796;S 20G 26M ;W 52G 51M ;S;Há espaço para pousar helicóptero
109;030900;0235     ;3ªSR/MS        ;1;48;DEL.09 - Paranaíba;R. Clementina Maria de Freitas, 199, Jd. Sta. Monica;91251;79500000;(67) 3503-1089;del09.ms@dprf.gov.br;6443;S 23G 3M 4;W 54G 12M ;N;Área  nos fundos do posto PRF, destinada a eventos sociais.
110;030901;0235     ;3ªSR/MS        ;5;109;DEL.09/ Pst.01 - Paranaíba;BR-158, Km 089.0;91251;79500000;(67) 3668-2773, 3668-2586;paranaiba.ms@dprf.gov.br;6798;S 19G 38M ;W 51G 12M ;S;Páteo do Posto PRF.
111;000000;0076     ;DPRF-Sede      ;2;0;DEPARTAMENTO DE POLÍCIA RODOVIÁRIA FEDERAL;Avenida W3 Norte, SEPN 506, bloco C, Projeção 08;97012;70740503;(61) 448-7790;central.dprf@dprf.gov.br;6443;-15.770269;-47.888675;N; 
112;040000;0250     ;4ªSR/MG        ;4;111;4ª SUPERINTENDÊNCIA REGIONAL DE POLÍCIA RODOVIÁRIA FEDERAL;Pç. Antônio Mourão Guimarães, s/n Cidade Industrial;43710;32210170;Tel : (31)3333-2999 - Fax:(31)3333-1584;sup.mg@dprf.gov.br;6443;-19.955000;-44.025278;S;Há espaço para pousar helicóptero
113;040100;0269     ;4ªSR/MG        ;1;112;DEL.01 -  Delegacia Metropolitana;Rua 7, nº 140 - Bairro Olhos D'Água;43710;30390490;(31)3288-1712;del01.mg@dprf.gov.br;6443;S 23G 3M 4;W 54G 12M ;S;Existe a possibilidade de pouso mas o local não está demarcado.
114;040101;0269     ;4ªSR/MG        ;5;113;DEL.01/PST.01 - Posto de Sabará;BR-381, Km 436,9 - Bairro Borba Gato;51330;34505000;(31) 3691-1572/2423;del01p01.mg@dprf.gov.br;6858;-19.826944;-43.837222;S;Existe a possibilidade de pouso de helicóptero.
115;040102;0269     ;4ªSR/MG        ;5;113;DEL.01/PST.02 - Posto da Nova Lima;BR-040, Km 554;48950;34000000;Não tem telefone no posto;del01p02.mg@dprf.gov.br;683907;-20.081944;-43.979167;S;Não existe demarcação no local.
116;010000;0100     ;1ª SRPRF/GO    ;4;111;1ª SUPERINTENDÊNCIA REGIONAL DE POLÍCIA RODOVIÁRIA FEDERAL;Av do Desvio Chác. N. Sra da Piedade Lts 25/26 Jd Guanabara;93734;74675090;(62)207-2288;sit.go@dprf.gov.br;6443;          ;          ;S;Não existe local para pouso de Helicóptero
117;010100;0119     ;1ª SRPRF/GO    ;1;116;DEL.01 -  Delegacia de Goiânia;Av do Desvio, Lts 25/26 Jd Guanabara;93734;74675090;(62) 3216-8877;del01.go@dprf.gov.br;7137;S 16G 36M ;W 49G 12M ;S;Há um espaço para helicópteros que levantem vôo verticalmente
118;010200;0121     ;1ª SRPRF/GO    ;1;116;DEL.02 - Delegacia de Anápolis;BR-060, Km 110;92215;75104240;(62)3324-1077;del02.go@dprf.gov.br;8828;S 16G 21M ;W 48G 55M ;N;O posto fica próximo ao Aeroporto de Anápolis.
119;010300;0123     ;1ª SRPRF/GO    ;1;116;DEL.03 - Delegacia de Morrinhos;Rodovia BR 153 km 595 Morrinhos;94730;75650000;(64)3413-4258;del03.go@dprf.gov.br;33938;S 17G 37M ;W 49G 10M ;N;Para o pouso de helicópteros o posto faz uso das pistas e pátio
120;010400;0125     ;1ªSR/GO        ;1;116;DEL.04 - Delegacia de Rio Verde;Rodovia BR 060 km 439,1;95710;75904140;(64)3623-2523;del04.go@dprf.gov.br;7141;S 17G 47M ;W 50G 53M ;N;A Delegacia possui espaço para pouso de Helicóptero
121;010500;0127     ;1ªSR/GO        ;1;116;DEL.05 - Delegacia de Jataí;Rodovia BR 060 km 450;94331;75801615;(64)632-1877;del05.go@dprf.gov.br;33940;S 17G 55M ;W 51G 41M ;N;Há espaço para pousar helicóptero
122;010103;0119     ;1ª SRPRF/GO    ;5;117;DEL.01/PST.03 - Posto Cleyton Santos;BR-153, Km 525;93890;75340000;(62)3216-8880;del01p03.go@dprf.gov.br;1003376;          ;          ;S;Há espaço para pousar helicóptero
123;160000;0840     ;16ªSR/CE       ;4;111;16ª SUPERINTENDÊNCIA REGIONAL DE POLÍCIA RODOVIÁRIA FEDERAL;BR-116, Km 006 Bairro Cajazeiras;13897;60864190;(85) 3289-4243;sup.ce@dprf.gov.br;7907;-3.8035280;-38.504203;S;Existe um pátio no estacionamento da sede
124;160100;0859     ;16ªSR/CE       ;1;123;DEL.01 - Delegacia de Caucaia;BR 222 KM 11;13730;61634900;(85) 3213-0137 / (85) 3213-0131;del01.ce@dprf.gov.br;69827;-3.7661360;-38.663200;N;atrás do posto tem um desvio com aproximadamente 300 metros de comprimento 20 metros largura.
125;160101;0859     ;16ªSR/CE       ;5;124;DEL.01/PST.01 - Posto Campo Grande;BR 222 KM 11;13730;61634900;(85) 3213-1520 / (85) 3213-0247;del01p01.ce@dprf.gov.br;69827;-3.7661360;-38.663200;N;atrás do posto tem um desvio com aproximadamente 300 metros de comprimento 20 metros largura.
126;160203;0861     ;16ªSR/CE       ;5;127;DEL.02/PST.03 - Posto Maranguape;BR-020, Km 371;14559;        ;(85) 3342-7373;del02p03.ce@dprf.gov.br;7989;-3.9748110;-38.903669;N;No leito da rodovia em frente ao posto, com o tráfego de veículos desviado para as vias laterais.
127;160200;0861     ;16ªSR/CE       ;1;123;DEL.02 - Delegacia de Canindé;BR-020, Km 304;13552;62700970;(85) 3343-1309 /  (88) 3343-1320;del02.ce@dprf.gov.br;7910;-4.3867190;-39.312531;N;Existe na frente da delegacia tem uma área asfaltada
128;160201;0861     ;16ªSR/CE       ;5;127;DEL.02/PST.01 - Posto Canindé;BR-020, Km 310;13552;62700970;(85) 3343-2042;del02.p01.ce@dprf.gov.br;7911;-4.3338890;-39.286800;N;Atrás do posto tem um campo de futebol.
129;160202;0861     ;16ªSR/CE       ;5;127;DEL.02/PST.02 - Posto Boa Viagem;BR-020, KM 208;13471;63870970;(88) 3427-1159;del02p02.ce@dprf.gov.br;7912;-5.0893110;-39.711311;N;No leito da rodovia em frente ao posto, com o tráfego de veículos desviado para as vias laterais.
130;160300;0863     ;16ªSR/CE       ;1;123;DEL.03 - Delegacia de Russas;Av. Gov. Raul Barbosa, 502 - Alto da Bela Vista;15377;62900970;(88) 3411-2570 / 3411-2924;del03.ce@dprf.gov.br;6443;-4.9366190;-37.983656;N;campo de aviação próximo a delegacia
131;160301;0863     ;16ªSR/CE       ;5;130;DEL.03/PST.01 - Posto Russas;BR-116, Km 158;15377;62900000;(88) 3411-0290;;30132;-4.9157810;-37.998058;N;No leito da rodovia em frente ao posto, com o tráfego de veículos desviado para as vias laterais.
132;160302;0863     ;16ªSR/CE       ;5;130;DEL.03/PST.02 - Posto Chorozinho;BR-116, Km 070;12394;62875000;(85) 3319-3107;;7914;-4.3442940;-38.458553;N; 
133;160303;0863     ;16ªSR/CE       ;5;130;DEL.03/PST.03 - Posto Aracati;BR-304, Km 053;13218;62800000;(88) 3421-1090 / 3421-5856;;9791;-4.5758190;-37.731917;N;Ao lado do posto existe um aeroponto, que permite pouso
134;160400;0865     ;16ªSR/CE       ;1;123;DEL.04 - Delegacia de Sobral;Av. Senador Fernandes Távora, s/n - Sinhá Sabóia;15598;62050100;(88) 3614-3133 / (88) 3614-3044;del04.ce@dprf.gov.br;886311;-3.7086140;-40.336064;N;
135;160401;0865     ;16ªSR/CE       ;5;134;DEL.04/PST.01 - Posto Sobral;BR-222, KM 224;15598;62050100;(88) 3614-3310 / 3044;del04p01.ce@dprf.gov.br;7916;-3.7190610;-40.332400;N;Tem um terreno atrás do posto que pertence a um restaurante, havendo a nescessidade poderá pousar um helicóptero.
136;160402;0865     ;16ªSR/CE       ;5;134;DEL.04/PST.02 - Posto Tianguá;BR-222, Km 314;15695;62320970;(88) 3671-1611;del04p02.ce@dprf.gov.br;7918;-3.7131890;-40.986000;N;
137;160403;0865     ;16ªSR/CE       ;5;134;DEL.04/PST.03 - Posto Irauçuba;BR-222, Km 150;14230;62620970;(88) 3635-1195;del04p03.ce@dprf.gov.br;30137;-3.7440610;-39.797200;N;terreno do dnit tem um campo proxímo ao posto que poderá pousar um helicóptero
138;160500;0867     ;16ªSR/CE       ;1;123;DEL.05 - Delegacia de Icó;Rua Ilídio Sampaio, 2036 - Centro;14095;63430000;(88) 3561-1279 / (88) 3561-1311;del05.ce@dprf.gov;6443;-6.4004170;-38.860672;N;No leito da rodovia em frente ao posto, com o tráfego de veículos desviado para as vias laterais.
139;160501;0867     ;16ªSR/CE       ;5;138;DEL.05/PST.01 - Posto Icó;BR-116, KM 368;14095;63430970;(88) 3561-2341;del05p01.ce@dprf.gov.br;7919;-6.4020440;-38.841211;N;No leito da rodovia em frente ao posto, com o tráfego de veículos desviado para as vias laterais.
140;160503;0867     ;16ªSR/CE       ;5;138;DEL.05/PST.03 - Posto Milagres;BR-116, KM 481;14672;63250970;(88) 3553-1400;del05p03@dprf.gov.br;7921;-7.3136000;-38.938244;N;No leito da rodovia em frente ao posto, com o tráfego de veículos desviado para as vias laterais.
141;160502;0867     ;16ªSR/CE       ;5;138;DEL.05/PST.02 - Posto Jaguaribe;BR-116, KM 302;14397;63475970;(88) 3522-1775;del05p02.ce@dprf.gov.br;7920;-5.8666390;-38.594589;N;Existe um aeroporto há 1km do posto
142;160001;0841     ;16ªSR/CE       ;8;123;Seção de Policiamento e Fiscalização;BR-116, Km 006 Bairro Cajazeiras;13897;60864190;(85) 32953256;spf.ce@dprf.gov.br;7907;          ;          ;N;Existe um pátio no estacionamento da sede
143;160002;0842     ;16ªSR/CE       ;7;123;Núcleo de Operações Especiais;BR-116, Km 006 Bairro Cajazeiras;13897;60864190;Não possui;noe.ce@dprf.gov.br;7907;          ;          ;N;Existe um pátio no estacionamento da sede
144;160103;0859     ;16ªSR/CE       ;5;124;DEL.01/PST.03 - Posto Croatá;BR-222, Km 060;12416;62390970;(85) 3372-6201/ 3213-1520;del01p03.ce@dprf.gov.br;7909;-3.6713890;-38.086400;N;No leito da rodovia em frente ao posto, com o tráfego de veículos desviado para as vias laterais.
145;160102;0859     ;16ªSR/CE       ;5;124;DEL.01/PST.02 - Posto BR 116;BR-116,  KM 17 (obs: posto definitivo encontra-se em constru;13897;        ;Não possui;del01p02.ce@dprf.gov.br;7990;-3.9083530;-38.504833;N;No leito da rodovia em frente ao posto, com o tráfego de veículos desviado para as vias laterais.
146;140000;0760     ;14ªSR/PB       ;4;111;14ª SUPERINTENDÊNCIA REGIONAL DE POLÍCIA RODOVIÁRIA FEDERAL;BR-230, Km 023 - N° 2257 - Cristo Redentor;20516;58053002;(83) 3533-4743;sup.pb@dprf.gov.br;8023;S 7G 9M 51;W 34G 51M ;S;Próximo a garagem interna
147;140100;0779     ;14ªSR/PB       ;1;146;DEL.01 - Delegacia Metropolitana;BR 230 - Km 23 nº 2257 Bairro: Cristo Redentor;20516;58053002;(83) 3533-4701     VOIP 50830100;del01.pb@dprf.gov.br;8023;S 7G 9M 51;W 34G 51M ;S;
148;140200;0781     ;14ªSR/PB       ;1;146;DEL.02 - Delegacia de Campina Grande;Av.  Severino Bezerra Cabral, s/n ? Bairro José Pinheiro;19810;58104170;(83) 3533-4502   VOIP 50830200;del02.pb@dprf.gov.br;106699;S 23G 3M 4;W 54G 12M ;N;No leito da rodovia, podendo o transito de veículos ser desviados por vias paralelas ou em uma área próxima ao posto, que  edificações.
149;140300;0783     ;14ªSR/PB       ;1;146;DEL.03 - Delegacia de Patos;Rua Horácio Nóbrega, s/nº - Bairro: Belo Horizonte;21172;58704000;(83) 3533-4703   VOIP 0300;del03.pb@dprf.gov.br;106699;S 23G 3M 4;W 54G 12M ;N;
150;140101;0779     ;14ªSR/PB       ;5;147;DEL.01/PST.01 - Posto Bayeux;BR-230, Km 32;19372;58306970;(83) 3533-4711   VOIP 0110;del01.pb@dprf.gov.br;11000;S 7G 8M 26;W 34G 55M ;S;
163;010102;0119     ;1ª SRPRF/GO    ;5;117;DEL.01/PST.02 - Posto  Guapó;BR-060, Km 168;10502;74640010;(62)3216-8879;del01p02.go@dprf.gov.br;7842;          ;          ;S;Há espaço para pouso de helicóptero
261;150102;0819     ;15ªSR/RN       ;5;259;DEL.01/PST.02 - Posto de Macaíba;BR-304, Km 294;17418;59280970;84 32151512;del01p02.rn@dprf.gov.br;24836;S 5G 52M 2;W 35G 22M ;N;Existe uma área próxima ao posto que permite pouso de Helicóptero
152;140102;0779     ;14ªSR/PB       ;5;147;DEL.01/PST.02 - Posto Mata Redonda;BR-101, Km 108;19119;58320000;(83) 3533-4712   VOIP 0120;del01.pb@dprf.gov.br;8294;S 7G 22M 3;W 34G 56M ;S;
153;140103;0779     ;14ªSR/PB       ;5;147;DEL.01/PST.03 - Posto Café do Vento;BR-230, Km 070;05347;58342000;(83) 3533-4713    VOIP 0140;del01.pb@dprf.gov.br;49333;S 7G 11M 3;W 35G 13M ;S;
154;140104;0779     ;14ªSR/PB       ;5;147;DEL.01/PST.04 - Posto Mamanguape;BR-101, Km 38;20796;58280000;(83) 3533-4714   VOIP 0140;del01.pb@dprf.gov.br;67378;S 6G 49M 1;W 35G 8M 2;S;
155;140201;0781     ;14ªSR/PB       ;5;148;DEL.02/PST.01 - Posto de Santa Terezinha;BR-230, Km 143,6;19810;        ;(83) 3533-4721   VOIP 0210;del0201.pb@dprf.gov.br;62927;S 7G 15M 1;W 35G 49M ;S;De lado do Posto atrás da garagem no canteiro central
156;140202;0781     ;14ªSR/PB       ;5;148;DEL.02/PST.02 - Posto Farinha;BR-230, Km 183;21415;58150000;(83) 3533-4722  VOIP 0220;del0202.pb@dprf.gov.br;8299;S 7G 9M 20;W 36G 5M 2;S;No leito da rodovia em frente ao PST, ou na duplicação da rodovia, podendo ser desviado o tráfego de veículos para a vias laterais.
157;140203;0781     ;14ªSR/PB       ;5;148;DEL.02/PST.03 - Posto de Queimadas;BR-104, Km 142;21512;58440000;(83) 3533-4723   VOIP 0230;del0203.pb@dprf.gov.br;62932;S 7G 22M 2;W 35G 53M ;S;No leito da rodovia, podendo o trânsito de veículos ser desviado por vias paralelas ou em uma área próxima ao posto, que  edificações.
158;140205;0781     ;14ªSR/PB       ;5;148;DEL.02/PST.05 - Posto de São Miguel;BR 104 - KM 93 - SÃO MIGUEL;20214;58135000;(83) 3533-4725   VOIP 0240;del0205.pb@dprf.gov.br;8301;S 6G 59M 2;W 35G 49M ;S;No leito da rodovia em frente ao PST, onde o tráfego de veiculos pode ser feito pelas vias laterais.
159;140301;0783     ;14ªSR/PB       ;5;149;DEL.03/PST.01 - Posto de São Mamede;BR-230, Km 310;21997;58625000;(38) 3533-4731   VOIP 0310;posto31.pb@dprf.gov.br;856762;S 6G 55M 3;W 37G 4M 9;S;
160;140302;0783     ;14ªSR/PB       ;5;149;DEL.03/PST.02 - Posto de Pombal;BR-230, Km 408;21431;58840970;(83) 3533-4732   VOIP 0320;posto32.pb@dprf.gov.br;62491;S 6G 46M 1;W 37G 47M ;S;Área próxima a garagem do posto, no centro da duplicação da rodovia.
161;140303;0783     ;14ªSR/PB       ;5;149;DEL.03/PST.03 - Posto de Cajazeiras;BR-230, Km 512;19755;58900000;(83) 3533-4733   VOIP 0330;posto33.pb@dprf.gov.br;8024;S 6G 53M 8;W 38G 37M ;S;No leito da rodovia em frente ao posto, com o tráfego de veículos desviado para as vias laterais e o pátio de estacionamento de uma balança fixa, próxima ao posto.
164;010101;0119     ;1ª SRPRF/GO    ;5;117;DEL.01/PST.01 - Posto Leônidas Sisteroli;BR-060, Km 131,8;93734;74675000;(62)3216-8878;del01p01.go@dprf.gov.br;7023;          ;          ;S;Há espaço para pousar helicóptero
165;010201;0121     ;1ª SRPRF/GO    ;5;118;DEL.02/PST.01 - Posto  Anápolis;BR-060, Km 98;92215;75104240;(62)3316-5368;del02p01.go@dprf.gov.br;13381;S 16G 20M ;W 48G 54M ;S;Não há espaço para pousar helicóptero
166;010202;0121     ;1ª SRPRF/GO    ;5;118;DEL.02/PST.02 - Posto Rianápolis;BR-153, Km 350;95672;76330000;(62)3326-1379;del02p02.go@dprf.gov.br;40822;          ;          ;N;Há espaço para pousar helicóptero. Já tem mais de um que o posto passou a ser posto Jaraguá e fica no Município de Jaraguá.
737;050003;0325     ;5ªSR/RJ        ;7;389;5ª SRPRF/RJ ? NÚCLEO DE REGISTRO DE ACIDENTES E MEDICINA;ROD. PRESID. DUTRA, KM 163 - VIGÁRIO GERAL;60011;21240000;(21) 35039002, 9030;nuram.rj@dprf.gov.br;13931;          ;          ;N;
738;060001;0375     ;6ªSR/SP        ;7;400;6ª SRPRF/SP ? NÚCLEO DE REGISTRO DE ACIDENTES E MEDICINA;RUA CIRO SOARES DE ALMEIDA, 150 VL MARIA;71072;21670000;(11) 6440-6503 / 6468-1996 / 6440-0132;nuram.sp@dprf.gov.br;6715;          ;          ;N;
739;080003;0475     ;8ªSR/SC        ;7;411;8ª SRPRF/SC ? NÚCLEO DE REGISTRO DE ACIDENTES E MEDICINA;RUA ÁLVARO MULLEN DA SILVEIRA, 104 - CENTRO;81051;88020180;(48) 3251-3200/5048-0100;nuram.sc@dprf.gov.br;14104;          ;          ;N;
740;090001;0525     ;9ªSR/RS        ;7;1;9ª SRPRF/RS ? NÚCLEO DE REGISTRO DE ACIDENTES E MEDICINA;AV. A. J. RENNER, 2701 - PARQUE HUMAITÁ;88013;90250000;(51) 3375-9700;nuram.rs@dprf.gov.br;6353;          ;          ;N;
167;010600;0129     ;1ªSR/GO        ;1;116;DEL.06 - Delegacia de Catalão;BR-050, Km 278,6;93017;75700000;(64)3442-8481;del06.go@dprf.gov.br;10426;S 18G 10M ;W 47G 55M ;S;Há espaço para pousar helicóptero
168;010601;0129     ;1ªSR/GO        ;5;167;DEL.06/PST.01 - Posto  de Catalão;BR-050, Km 286,0;93017;75700000;(64)3411-2776;del06p01.go@dprf.gov.br;10486;S 18G 13M ;W 47G 58M ;S;Unidade vinculada ao edificio do DNIT.
169;004210;0034     ;NUINFO         ;7;0;Núcleo de Informações Operacionais;SEPN 506  BLOCO C PORJEÇÃO 08 - SOBRELOJA;97012;74053000;(61)3448-7790;central.dprf@dprf.gov.br;6443;S 23G 3M 4;W 54G 12M ;N;
170;110000;0630     ;11ªSR/PE       ;4;111;11ª SUPERINTENDÊNCIA REGIONAL DE POLÍCIA RODOVIÁRIA FEDERAL;AVENIDA ANTONIO DE GOES, 820 - PINA;25313;51010000;81 3303 6600;central.pe@dprf.gov.br;6443;-8.0843280;-34.887392;S;Não há espaço para pousar helicóptero,somente no hangar
171;110001;0630     ;11ªSR/PE       ;8;170;Hangar;PRAÇA SALGADO FILHO, S/N - SETOR DE HANGARES, HANGAR 02;25313;51210000;81 3303 7210;hangar@dprf.gov.br;33406;-8.1274968;-34.918496;S;Há espaço para pousar helicóptero.
172;110100;0649     ;11ªSR/PE       ;1;170;DEL.01 - Delegacia Metropolitana;BR-101, Sul, Km 070 ? Cidade Universitária;25313;50670421;81 3303 4771/4739;del01.pe@dprf.gov.br;11453;S 8G 3M 7.;W 34G 56M ;N;Não há espaço para pousar helicóptero
173;110101;0649     ;11ªSR/PE       ;5;172;DEL.01/PST.01 -Posto Contorno;BR-101, SUL Km 070;25313;50670421;81 3303 4771;contorno@dprf.gov.br;11453;S 8G 3M 51;W 34G 56M ;N;Não há espaço para pousar helicóptero
174;110102;0649     ;11ªSR/PE       ;5;172;DEL.01/PST.02 - Posto Igarassu;BR-101, NORTE Km 033;24350;53610000;81 3547 2047;igarassu@dprf.gov.br;13625;S 7G 45M 4;W 34G 56M ;N;Não há espaço apropriado para pouso de helicóptero, foi feito uma limpeza na área.
175;110103;0649     ;11ªSR/PE       ;5;172;DEL.01/PST.03  - Posto Cabo;BR-408, Km 065, Bairro Novo;23795;55819320;81 3621 0646;carpina@dprf.gov.br;16506;S 7G 51M 5;W 35G 13M ;N;Não há espaço para pousar helicóptero
176;110200;0651     ;11ªSR/PE       ;1;170;DEL.02 - Delegacia de Caruaru;BR-104;23817;        ;;del02.pe@dprf.gov.br;1010479;          ;          ;S;Há uma área para pouso de aeronave.
177;110201;0651     ;11ªSR/PE       ;5;176;DEL.02/PST.01 - Posto Caruaru;BR-104;23817;        ;;;34631;          ;          ;S;Há espaço para pousar helicóptero
178;110202;0651     ;11ªSR/PE       ;5;176;DEL.02/PST.02 - Posto São Caetano;BR-232;23817;        ;;;37298;          ;          ;N;Não há espaço para pousar helicóptero
179;110300;0653     ;11ªSR/PE       ;1;170;DEL.03 - Delegacia Garanhuns;BR 423;24198;        ;;;47296;          ;          ;N;Não há espaço para pousar helicóptero
180;110301;0653     ;11ªSR/PE       ;5;179;DEL.03/PST.01 - Posto Garanhuns;BR 423;24198;        ;;;47296;          ;          ;N;Há espaço para pousar helicóptero é feito no improviso, a pista é interditada para pouso da aeronave
181;110302;0653     ;11ªSR/PE       ;5;179;DEL.03/PST.02 - Posto Cruzeiro do nordeste;BR-232;24198;        ;;;17551;          ;          ;S;Heliponto projetado e devidamente sinalizado sem iluminação.
788;110104;0649     ;11ªSR/PE       ;5;172;DEL.01/PST.04  - Posto Gravatá;BR-232;24279;        ;;;31075;          ;          ;N;
789;110503;0657     ;11ªSR/PE       ;5;187;DEL.05/PST.03 - Posto Trevo do Ibó;BR 116;25437;        ;;;244752;          ;          ;N;
790;110603;0659     ;11ªSR/PE       ;5;190;DEL.06/PST.03 - Posto Santa Maria da Boa Vista;BR-428;25518;        ;;;36754;          ;          ;N;
793;020103;0169     ;2ªSR/MT        ;5;214;DEL.01/PST.03 - Posto Campo Verde;BR-070;97799;78000000;65 3419-2140;del01p03.mt@dprf.gov.br;148796;          ;          ;N;
182;110400;0655     ;11ªSR/PE       ;1;170;DEL.04 - Delegacia Serra Talhada;BR-232;25771;        ;;;616527;          ;          ;S;Há um carteiro central para pouso de aeronova sem sinalização.
183;110401;0655     ;11ªSR/PE       ;5;182;DEL.04/PST.01 - Posto Serra Talhada;BR-232;25771;        ;;;616527;          ;          ;S;Posto 01 desativado
